Area,Family Size,Number of Adults,Number of Workers,Number of Children,Age of Adults,Yearly Cost,Hourly Wage,Child Care,Food,Health Care,Housing,Transport,Other,Taxes
Nobles County                   ,2,2,2,0,51+,38292,9.2,0,630,573,574,667,330,417
Norman County                   ,2,2,1,0,51+,40673,19.55,0,634,573,605,832,339,406
Norman County                   ,2,2,1.5,0,51+,41562,13.32,0,634,573,605,832,339,481
Norman County                   ,2,2,1,0,19-50,39864,19.17,0,656,496,605,832,345,388
Norman County                   ,2,2,2,0,19-50,40760,9.8,0,656,496,605,832,345,463
Norman County                   ,2,2,2,0,51+,41562,9.99,0,634,573,605,832,339,481
Norman County                   ,2,1,1,1,19-50,43220,20.78,454,529,482,756,769,352,260
Norman County                   ,2,2,1.5,0,19-50,40760,13.06,0,656,496,605,832,345,463
Northeast Minnesota             ,2,2,2,0,19-50,40224,9.67,0,648,496,668,730,360,450
Northeast Minnesota             ,2,2,1,0,19-50,39300,18.89,0,648,496,668,730,360,373
Northeast Minnesota             ,2,2,2,0,51+,40980,9.85,0,626,573,668,730,354,464
Northeast Minnesota             ,2,1,1,1,19-50,48072,23.11,704,523,482,877,678,383,359
Northeast Minnesota             ,2,2,1.5,0,51+,40980,13.13,0,626,573,668,730,354,464
Northeast Minnesota             ,2,2,1,0,51+,40044,19.25,0,626,573,668,730,354,386
Northeast Minnesota             ,2,2,1.5,0,19-50,40224,12.89,0,648,496,668,730,360,450
Northwest Minnesota             ,2,1,1,1,19-50,43848,21.08,519,523,482,794,706,361,269
Northwest Minnesota             ,2,2,1,0,51+,39648,19.06,0,626,573,619,761,341,384
Northwest Minnesota             ,2,2,2,0,51+,40548,9.75,0,626,573,619,761,341,459
Northwest Minnesota             ,2,2,2,0,19-50,39780,9.56,0,648,496,619,761,347,444
Northwest Minnesota             ,2,2,1.5,0,19-50,39780,12.75,0,648,496,619,761,347,444
Northwest Minnesota             ,2,2,1,0,19-50,38880,18.69,0,648,496,619,761,347,369
Northwest Minnesota             ,2,2,1.5,0,51+,40548,13,0,626,573,619,761,341,459
Olmsted County,2,2,1.5,0,19-50,41799,13.4,0,652,496,813,649,401,472
Olmsted County,2,2,2,0,19-50,41799,10.05,0,652,496,813,649,401,472
Olmsted County,2,1,1,1,19-50,55338,26.6,1022,526,482,1045,606,430,501
Olmsted County,2,2,1.5,0,51+,42549,13.64,0,630,573,813,649,395,486
Olmsted County,2,2,2,0,51+,42549,10.23,0,630,573,813,649,395,486
Olmsted County,2,2,1,0,51+,41515,19.96,0,630,573,813,649,395,400
Olmsted County,2,2,1,0,19-50,40787,19.61,0,652,496,813,649,401,388
Otter Tail County               ,2,2,2,0,51+,40079,9.63,0,627,573,574,785,329,452
Otter Tail County               ,2,2,1.5,0,19-50,39329,12.61,0,649,496,574,785,335,438
Otter Tail County               ,2,2,1,0,19-50,38456,18.49,0,649,496,574,785,335,366
Otter Tail County               ,2,2,2,0,19-50,39329,9.45,0,649,496,574,785,335,438
Otter Tail County               ,2,2,1.5,0,51+,40079,12.85,0,627,573,574,785,329,452
Otter Tail County               ,2,1,1,1,19-50,42883,20.62,485,524,482,756,727,350,250
Otter Tail County               ,2,2,1,0,51+,39224,18.86,0,627,573,574,785,329,381
Pennington County               ,2,2,1.5,0,19-50,36068,11.56,0,656,496,574,567,337,376
Pennington County               ,2,2,1,0,19-50,35228,16.94,0,656,496,574,567,337,306
Pennington County               ,2,2,1,0,51+,35955,17.29,0,634,573,574,567,331,317
Pennington County               ,2,2,2,0,51+,36819,8.85,0,634,573,574,567,331,389
Pennington County               ,2,1,1,1,19-50,39625,19.05,487,529,482,756,532,352,164
Pennington County               ,2,2,2,0,19-50,36068,8.67,0,656,496,574,567,337,376
Pennington County               ,2,2,1.5,0,51+,36819,11.8,0,634,573,574,567,331,389
Pine County                     ,2,2,1.5,0,19-50,44493,14.26,0,642,496,630,1055,348,537
Pine County                     ,2,2,2,0,19-50,44493,10.7,0,642,496,630,1055,348,537
Pine County                     ,2,2,1,0,51+,44269,21.28,0,620,573,630,1055,342,469
Pine County                     ,2,2,1,0,19-50,43539,20.93,0,642,496,630,1055,348,457
Pine County                     ,2,2,2,0,51+,45244,10.88,0,620,573,630,1055,342,550
Pine County                     ,2,2,1.5,0,51+,45244,14.5,0,620,573,630,1055,342,550
Pine County                     ,2,1,1,1,19-50,50065,24.07,599,518,482,830,970,369,404
Pipestone County                ,2,1,1,1,19-50,41075,19.75,433,531,482,756,664,352,205
Pipestone County                ,2,2,2,0,51+,40692,9.78,0,636,573,655,714,354,459
Pipestone County                ,2,2,1,0,51+,39762,19.12,0,636,573,655,714,354,382
Pipestone County                ,2,2,1.5,0,19-50,39942,12.8,0,658,496,655,714,360,446
Pipestone County                ,2,2,1,0,19-50,39034,18.77,0,658,496,655,714,360,370
Pipestone County                ,2,2,2,0,19-50,39942,9.6,0,658,496,655,714,360,446
Pipestone County                ,2,2,1.5,0,51+,40692,13.04,0,636,573,655,714,354,459
Polk County                     ,2,2,2,0,51+,40689,9.78,0,634,573,715,644,369,456
Polk County                     ,2,2,2,0,19-50,39939,9.6,0,656,496,715,644,375,442
Polk County                     ,2,2,1.5,0,51+,40689,13.04,0,634,573,715,644,369,456
Polk County                     ,2,2,1.5,0,19-50,39939,12.8,0,656,496,715,644,375,442
Polk County                     ,2,1,1,1,19-50,42747,20.55,413,530,482,910,600,394,233
Polk County                     ,2,2,1,0,51+,39720,19.1,0,634,573,715,644,369,375
Polk County                     ,2,2,1,0,19-50,38993,18.75,0,656,496,715,644,375,363
Pope County                     ,2,2,2,0,51+,39895,9.59,0,632,573,574,767,330,449
Pope County                     ,2,2,1,0,19-50,38242,18.39,0,654,496,574,767,336,360
Pope County                     ,2,1,1,1,19-50,42516,20.44,473,528,482,756,711,352,241
Pope County                     ,2,2,1.5,0,19-50,39107,12.53,0,654,496,574,767,336,432
Pope County                     ,2,2,1.5,0,51+,39895,12.79,0,632,573,574,767,330,449
Pope County                     ,2,2,1,0,51+,39045,18.77,0,632,573,574,767,330,378
Pope County                     ,2,2,2,0,19-50,39107,9.4,0,654,496,574,767,336,432
Ramsey County                   ,2,2,2,0,51+,47649,11.45,0,660,497,1086,679,478,571
Ramsey County                   ,2,2,2,0,19-50,46905,11.28,0,683,420,1086,679,484,557
Ramsey County                   ,2,2,1.5,0,51+,47649,15.27,0,660,497,1086,679,478,571
Ramsey County                   ,2,1,1,1,19-50,69677,33.5,1553,551,406,1348,632,520,796
Ramsey County                   ,2,2,1,0,19-50,45722,21.98,0,683,420,1086,679,484,458
Ramsey County                   ,2,2,1.5,0,19-50,46905,15.03,0,683,420,1086,679,484,557
Ramsey County                   ,2,2,1,0,51+,46473,22.34,0,660,497,1086,679,478,473
Red Lake County                 ,2,2,2,0,51+,41839,10.06,0,630,573,624,832,343,485
Red Lake County                 ,2,2,1,0,19-50,40119,19.29,0,652,496,624,832,349,390
Red Lake County                 ,2,1,1,1,19-50,42128,20.25,397,526,482,756,769,351,230
Red Lake County                 ,2,2,2,0,19-50,41036,9.86,0,652,496,624,832,349,467
Red Lake County                 ,2,2,1.5,0,51+,41839,13.41,0,630,573,624,832,343,485
Red Lake County                 ,2,2,1,0,51+,40929,19.68,0,630,573,624,832,343,409
Red Lake County                 ,2,2,1.5,0,19-50,41036,13.15,0,652,496,624,832,349,467
Redwood County                  ,2,2,1.5,0,19-50,39597,12.69,0,660,496,664,679,362,439
Redwood County                  ,2,2,1,0,51+,39407,18.95,0,637,573,664,679,356,375
Redwood County                  ,2,1,1,1,19-50,40481,19.46,429,532,482,756,632,353,189
Redwood County                  ,2,2,1,0,19-50,38694,18.6,0,660,496,664,679,362,363
Redwood County                  ,2,2,1.5,0,51+,40333,12.93,0,637,573,664,679,356,452
Redwood County                  ,2,2,2,0,51+,40333,9.7,0,637,573,664,679,356,452
Redwood County                  ,2,2,2,0,19-50,39597,9.52,0,660,496,664,679,362,439
Renville County                 ,2,2,1,0,19-50,39440,18.96,0,665,496,641,749,358,378
Renville County                 ,2,1,1,1,19-50,42700,20.53,489,536,482,756,696,354,245
Renville County                 ,2,2,1.5,0,19-50,40350,12.93,0,665,496,641,749,358,454
Renville County                 ,2,2,1.5,0,51+,41069,13.16,0,642,573,641,749,351,466
Renville County                 ,2,2,2,0,19-50,40350,9.7,0,665,496,641,749,358,454
Renville County                 ,2,2,2,0,51+,41069,9.87,0,642,573,641,749,351,466
Renville County                 ,2,2,1,0,51+,40139,19.3,0,642,573,641,749,351,389
Rice County                     ,2,2,2,0,19-50,42511,10.22,0,645,496,707,832,370,493
Rice County                     ,2,2,1.5,0,51+,43260,13.87,0,623,573,707,832,364,506
Rice County                     ,2,2,1,0,51+,42250,20.31,0,623,573,707,832,364,422
Rice County                     ,2,2,1,0,19-50,41522,19.96,0,645,496,707,832,370,410
Rice County                     ,2,1,1,1,19-50,49629,23.86,648,520,482,932,769,397,388
Rice County                     ,2,2,1.5,0,19-50,42511,13.63,0,645,496,707,832,370,493
Rice County                     ,2,2,2,0,51+,43260,10.4,0,623,573,707,832,364,506
Rock County                     ,2,1,1,1,19-50,40823,19.63,414,526,482,756,674,351,199
Rock County                     ,2,2,1,0,19-50,37603,18.08,0,652,496,574,726,336,350
Rock County                     ,2,2,1,0,51+,38368,18.45,0,630,573,574,726,330,364
Rock County                     ,2,2,1.5,0,19-50,38446,12.32,0,652,496,574,726,336,420
Rock County                     ,2,2,2,0,51+,39237,9.43,0,630,573,574,726,330,437
Rock County                     ,2,2,2,0,19-50,38446,9.24,0,652,496,574,726,336,420
Rock County                     ,2,2,1.5,0,51+,39237,12.58,0,630,573,574,726,330,437
Roseau County                   ,2,2,1.5,0,19-50,37451,12,0,643,496,574,673,333,402
Roseau County                   ,2,2,1,0,19-50,36571,17.58,0,643,496,574,673,333,329
Roseau County                   ,2,1,1,1,19-50,38351,18.44,329,519,482,756,627,349,134
Roseau County                   ,2,2,2,0,51+,38215,9.19,0,622,573,574,673,327,416
Roseau County                   ,2,2,1.5,0,51+,38215,12.25,0,622,573,574,673,327,416
Roseau County                   ,2,2,1,0,51+,37381,17.97,0,622,573,574,673,327,346
Roseau County                   ,2,2,2,0,19-50,37451,9,0,643,496,574,673,333,402
Saint Louis County              ,2,2,2,0,19-50,40068,9.63,0,648,496,691,691,367,446
Saint Louis County              ,2,2,1,0,51+,39859,19.16,0,626,573,691,691,361,380
Saint Louis County              ,2,2,1,0,19-50,39131,18.81,0,648,496,691,691,367,368
Saint Louis County              ,2,2,2,0,51+,40818,9.81,0,626,573,691,691,361,459
Saint Louis County              ,2,1,1,1,19-50,49152,23.63,764,523,482,911,643,392,381
Saint Louis County              ,2,2,1.5,0,51+,40818,13.08,0,626,573,691,691,361,459
Saint Louis County              ,2,2,1.5,0,19-50,40068,12.84,0,648,496,691,691,367,446
Scott County                    ,2,2,1,0,19-50,45602,21.92,0,649,420,1086,714,475,456
Scott County                    ,2,2,2,0,51+,47540,11.43,0,627,497,1086,714,469,569
Scott County                    ,2,1,1,1,19-50,62480,30.04,1122,523,406,1348,664,512,632
Scott County                    ,2,2,1.5,0,51+,47540,15.24,0,627,497,1086,714,469,569
Scott County                    ,2,2,1.5,0,19-50,46781,14.99,0,649,420,1086,714,475,554
Scott County                    ,2,2,2,0,19-50,46781,11.25,0,649,420,1086,714,475,554
Scott County                    ,2,2,1,0,51+,46367,22.29,0,627,497,1086,714,469,471
"Seven County Mpls-St Paul, MN   ",2,2,1,0,19-50,45648,21.95,0,668,420,1086,693,480,457
"Seven County Mpls-St Paul, MN   ",2,2,2,0,51+,47580,11.44,0,646,497,1086,693,474,569
"Seven County Mpls-St Paul, MN   ",2,2,2,0,19-50,46824,11.26,0,668,420,1086,693,480,555
"Seven County Mpls-St Paul, MN   ",2,2,1.5,0,19-50,46824,15.01,0,668,420,1086,693,480,555
"Seven County Mpls-St Paul, MN   ",2,2,1.5,0,51+,47580,15.25,0,646,497,1086,693,474,569
"Seven County Mpls-St Paul, MN   ",2,2,1,0,51+,46416,22.32,0,646,497,1086,693,474,472
"Seven County Mpls-St Paul, MN   ",2,1,1,1,19-50,69660,33.49,1557,539,406,1348,645,517,793
Sherburne County                ,2,2,1.5,0,19-50,48482,15.54,0,640,420,1086,832,473,589
Sherburne County                ,2,2,1,0,51+,48005,23.08,0,618,497,1086,832,467,500
Sherburne County                ,2,2,1,0,19-50,47268,22.73,0,640,420,1086,832,473,488
Sherburne County                ,2,1,1,1,19-50,64253,30.89,1131,516,406,1348,769,510,674
Sherburne County                ,2,2,2,0,51+,49241,11.84,0,618,497,1086,832,467,603
Sherburne County                ,2,2,2,0,19-50,48482,11.65,0,640,420,1086,832,473,589
Sherburne County                ,2,2,1.5,0,51+,49241,15.78,0,618,497,1086,832,467,603
Sibley County                   ,2,2,2,0,51+,40964,9.85,0,636,573,680,702,360,463
Sibley County                   ,2,1,1,1,19-50,43342,20.84,484,531,482,833,653,373,256
Sibley County                   ,2,2,2,0,19-50,40214,9.67,0,658,496,680,702,366,449
Sibley County                   ,2,2,1.5,0,51+,40964,13.13,0,636,573,680,702,360,463
Sibley County                   ,2,2,1,0,51+,40008,19.23,0,636,573,680,702,360,383
Sibley County                   ,2,2,1.5,0,19-50,40214,12.89,0,658,496,680,702,366,449
Sibley County                   ,2,2,1,0,19-50,39280,18.88,0,658,496,680,702,366,371
Southeast Minnesota             ,2,1,1,1,19-50,48816,23.47,729,524,482,895,680,388,370
Southeast Minnesota             ,2,2,1,0,51+,40608,19.52,0,627,573,696,732,362,394
Southeast Minnesota             ,2,2,1.5,0,19-50,40812,13.08,0,649,496,696,732,368,460
Southeast Minnesota             ,2,2,2,0,51+,41580,10,0,627,573,696,732,362,475
Southeast Minnesota             ,2,2,2,0,19-50,40812,9.81,0,649,496,696,732,368,460
Southeast Minnesota             ,2,2,1.5,0,51+,41580,13.33,0,627,573,696,732,362,475
Southeast Minnesota             ,2,2,1,0,19-50,39864,19.17,0,649,496,696,732,368,381
Southwest Minnesota             ,2,2,1.5,0,19-50,39228,12.57,0,654,496,647,684,356,432
Southwest Minnesota             ,2,2,1.5,0,51+,39984,12.82,0,632,573,647,684,350,446
Southwest Minnesota             ,2,2,1,0,19-50,38328,18.43,0,654,496,647,684,356,357
Southwest Minnesota             ,2,2,1,0,51+,39072,18.78,0,632,573,647,684,350,370
Southwest Minnesota             ,2,1,1,1,19-50,42852,20.6,477,527,482,834,637,373,241
Southwest Minnesota             ,2,2,2,0,19-50,39228,9.43,0,654,496,647,684,356,432
Southwest Minnesota             ,2,2,2,0,51+,39984,9.61,0,632,573,647,684,350,446
Stearns County                  ,2,2,1.5,0,51+,41032,13.15,0,624,573,691,708,360,463
Stearns County                  ,2,2,2,0,19-50,40283,9.68,0,646,496,691,708,366,450
Stearns County                  ,2,2,1.5,0,19-50,40283,12.91,0,646,496,691,708,366,450
Stearns County                  ,2,1,1,1,19-50,46280,22.25,651,521,482,846,659,374,324
Stearns County                  ,2,2,1,0,19-50,39339,18.91,0,646,496,691,708,366,371
Stearns County                  ,2,2,2,0,51+,41032,9.86,0,624,573,691,708,360,463
Stearns County                  ,2,2,1,0,51+,40067,19.26,0,624,573,691,708,360,383
Steele County                   ,2,2,2,0,51+,38887,9.35,0,629,573,602,673,337,427
Steele County                   ,2,2,1,0,51+,38009,18.27,0,629,573,602,673,337,353
Steele County                   ,2,1,1,1,19-50,41568,19.98,470,525,482,787,627,359,214
Steele County                   ,2,2,2,0,19-50,38118,9.16,0,650,496,602,673,343,412
Steele County                   ,2,2,1.5,0,51+,38887,12.46,0,629,573,602,673,337,427
Steele County                   ,2,2,1,0,19-50,37267,17.92,0,650,496,602,673,343,342
Steele County                   ,2,2,1.5,0,19-50,38118,12.22,0,650,496,602,673,343,412
Stevens County                  ,2,1,1,1,19-50,36679,17.63,369,523,482,756,495,350,82
Stevens County                  ,2,2,1,0,19-50,36067,17.34,0,649,496,664,526,359,312
Stevens County                  ,2,2,1.5,0,51+,37719,12.09,0,627,573,664,526,353,400
Stevens County                  ,2,2,1,0,51+,36868,17.73,0,627,573,664,526,353,329
Stevens County                  ,2,2,1.5,0,19-50,36972,11.85,0,649,496,664,526,359,387
Stevens County                  ,2,2,2,0,51+,37719,9.07,0,627,573,664,526,353,400
Stevens County                  ,2,2,2,0,19-50,36972,8.89,0,649,496,664,526,359,387
Swift County                    ,2,1,1,1,19-50,41159,19.79,398,533,482,756,701,353,207
Swift County                    ,2,2,1.5,0,19-50,39061,12.52,0,661,496,574,755,338,431
Swift County                    ,2,2,1,0,19-50,38197,18.36,0,661,496,574,755,338,359
Swift County                    ,2,2,1.5,0,51+,39849,12.77,0,639,573,574,755,332,448
Swift County                    ,2,2,2,0,51+,39849,9.58,0,639,573,574,755,332,448
Swift County                    ,2,2,2,0,19-50,39061,9.39,0,661,496,574,755,338,431
Swift County                    ,2,2,1,0,51+,39001,18.75,0,639,573,574,755,332,377
Todd County                     ,2,2,1,0,19-50,39740,19.11,0,642,496,598,850,339,387
Todd County                     ,2,2,1.5,0,19-50,40627,13.02,0,642,496,598,850,339,461
Todd County                     ,2,2,2,0,51+,41377,9.95,0,620,573,598,850,333,474
Todd County                     ,2,1,1,1,19-50,42967,20.66,439,518,482,756,785,349,252
Todd County                     ,2,2,2,0,19-50,40627,9.77,0,642,496,598,850,339,461
Todd County                     ,2,2,1.5,0,51+,41377,13.26,0,620,573,598,850,333,474
Todd County                     ,2,2,1,0,51+,40469,19.46,0,620,573,598,850,333,398
Traverse County                 ,2,2,1,0,51+,38747,18.63,0,648,573,574,726,335,373
Traverse County                 ,2,2,1.5,0,19-50,38815,12.44,0,671,496,574,726,341,427
Traverse County                 ,2,2,2,0,51+,39589,9.52,0,648,573,574,726,335,443
Traverse County                 ,2,1,1,1,19-50,42366,20.37,485,541,482,756,674,355,238
Traverse County                 ,2,2,2,0,19-50,38815,9.33,0,671,496,574,726,341,427
Traverse County                 ,2,2,1,0,19-50,37960,18.25,0,671,496,574,726,341,355
Traverse County                 ,2,2,1.5,0,51+,39589,12.69,0,648,573,574,726,335,443
Wabasha County                  ,2,2,2,0,51+,41319,9.93,0,623,573,635,797,344,471
Wabasha County                  ,2,2,2,0,19-50,40569,9.75,0,645,496,635,797,350,458
Wabasha County                  ,2,2,1.5,0,19-50,40569,13,0,645,496,635,797,350,458
Wabasha County                  ,2,2,1.5,0,51+,41319,13.24,0,623,573,635,797,344,471
Wabasha County                  ,2,1,1,1,19-50,44709,21.49,583,521,482,756,738,350,296
Wabasha County                  ,2,2,1,0,19-50,39657,19.07,0,645,496,635,797,350,382
Wabasha County                  ,2,2,1,0,51+,40385,19.42,0,623,573,635,797,344,393
Wadena County                   ,2,2,1,0,19-50,39711,19.09,0,649,496,639,791,352,382
Wadena County                   ,2,2,2,0,51+,41377,9.95,0,627,573,639,791,346,472
Wadena County                   ,2,2,1.5,0,51+,41377,13.26,0,627,573,639,791,346,472
Wadena County                   ,2,2,1.5,0,19-50,40627,13.02,0,649,496,639,791,352,459
Wadena County                   ,2,1,1,1,19-50,42967,20.66,485,523,482,756,733,350,252
Wadena County                   ,2,2,2,0,19-50,40627,9.77,0,649,496,639,791,352,459
Wadena County                   ,2,2,1,0,51+,40439,19.44,0,627,573,639,791,346,394
Waseca County                   ,2,2,2,0,51+,40123,9.64,0,636,573,577,773,332,453
Waseca County                   ,2,2,1.5,0,19-50,39372,12.62,0,658,496,577,773,338,439
Waseca County                   ,2,1,1,1,19-50,42567,20.46,467,531,482,756,717,352,242
Waseca County                   ,2,2,1,0,19-50,38497,18.51,0,658,496,577,773,338,366
Waseca County                   ,2,2,2,0,19-50,39372,9.46,0,658,496,577,773,338,439
Waseca County                   ,2,2,1.5,0,51+,40123,12.86,0,636,573,577,773,332,453
Waseca County                   ,2,2,1,0,51+,39264,18.88,0,636,573,577,773,332,381
Washington County               ,2,2,1.5,0,51+,47618,15.26,0,631,497,1086,714,470,570
Washington County               ,2,2,2,0,19-50,46858,11.26,0,653,420,1086,714,476,556
Washington County               ,2,2,1,0,51+,46442,22.33,0,631,497,1086,714,470,472
Washington County               ,2,2,1.5,0,19-50,46858,15.02,0,653,420,1086,714,476,556
Washington County               ,2,2,2,0,51+,47618,11.45,0,631,497,1086,714,470,570
Washington County               ,2,2,1,0,19-50,45677,21.96,0,653,420,1086,714,476,457
Washington County               ,2,1,1,1,19-50,68925,33.14,1512,527,406,1348,664,513,774
Watonwan County                 ,2,2,1,0,19-50,40031,19.25,0,647,496,664,785,359,385
Watonwan County                 ,2,2,1.5,0,19-50,40976,13.13,0,647,496,664,785,359,464
Watonwan County                 ,2,2,1,0,51+,40841,19.64,0,625,573,664,785,353,403
Watonwan County                 ,2,1,1,1,19-50,42061,20.22,440,522,482,756,727,350,228
Watonwan County                 ,2,2,2,0,19-50,40976,9.85,0,647,496,664,785,359,464
Watonwan County                 ,2,2,2,0,51+,41778,10.04,0,625,573,664,785,353,482
Watonwan County                 ,2,2,1.5,0,51+,41778,13.39,0,625,573,664,785,353,482
Wilkin County                   ,2,1,1,1,19-50,39776,19.12,411,521,482,756,627,350,168
Wilkin County                   ,2,2,1,0,19-50,36697,17.64,0,646,496,574,673,334,335
Wilkin County                   ,2,2,2,0,19-50,37512,9.02,0,646,496,574,673,334,403
Wilkin County                   ,2,2,1.5,0,51+,38261,12.26,0,624,573,574,673,328,416
Wilkin County                   ,2,2,2,0,51+,38261,9.2,0,624,573,574,673,328,416
Wilkin County                   ,2,2,1,0,51+,37425,17.99,0,624,573,574,673,328,347
Wilkin County                   ,2,2,1.5,0,19-50,37512,12.02,0,646,496,574,673,334,403
Winona County                   ,2,2,2,0,19-50,38701,9.3,0,649,496,624,685,349,422
Winona County                   ,2,2,2,0,51+,39491,9.49,0,627,573,624,685,343,439
Winona County                   ,2,2,1,0,19-50,37815,18.18,0,649,496,624,685,349,348
Winona County                   ,2,2,1,0,51+,38577,18.55,0,627,573,624,685,343,363
Winona County                   ,2,1,1,1,19-50,44270,21.28,619,523,482,788,637,359,281
Winona County                   ,2,2,1.5,0,51+,39491,12.66,0,627,573,624,685,343,439
Winona County                   ,2,2,1.5,0,19-50,38701,12.4,0,649,496,624,685,349,422
Wright County                   ,2,2,2,0,51+,48652,11.7,0,616,497,1086,797,466,592
Wright County                   ,2,2,1.5,0,19-50,47835,15.33,0,637,420,1086,797,472,574
Wright County                   ,2,2,1,0,19-50,46653,22.43,0,637,420,1086,797,472,476
Wright County                   ,2,2,1,0,51+,47433,22.8,0,616,497,1086,797,466,491
Wright County                   ,2,1,1,1,19-50,61534,29.58,1002,514,406,1348,738,510,610
Wright County                   ,2,2,2,0,19-50,47835,11.5,0,637,420,1086,797,472,574
Wright County                   ,2,2,1.5,0,51+,48652,15.59,0,616,497,1086,797,466,592
Yellow Medicine County          ,2,2,1.5,0,51+,39602,12.69,0,646,573,577,726,335,443
Yellow Medicine County          ,2,1,1,1,19-50,41109,19.76,413,540,482,756,674,355,206
Yellow Medicine County          ,2,2,2,0,51+,39602,9.52,0,646,573,577,726,335,443
Yellow Medicine County          ,2,2,1,0,19-50,37970,18.25,0,669,496,577,726,341,355
Yellow Medicine County          ,2,2,1,0,51+,38758,18.63,0,646,573,577,726,335,373
Yellow Medicine County          ,2,2,1.5,0,19-50,38828,12.44,0,669,496,577,726,341,427
Yellow Medicine County          ,2,2,2,0,19-50,38828,9.33,0,669,496,577,726,341,427
Aitkin County                   ,3,2,1,1,19-50,46243,22.23,0,807,538,756,1022,428,303
Aitkin County                   ,3,2,2,1,19-50,62170,14.94,958,807,538,756,1022,428,672
Aitkin County                   ,3,1,1,2,19-50,69456,33.39,1438,797,524,1015,929,496,589
Aitkin County                   ,3,2,1.5,1,19-50,54604,17.5,479,807,538,756,1022,428,520
Anoka County                    ,3,1,1,2,19-50,96201,46.25,2074,801,561,1894,727,738,1222
Anoka County                    ,3,2,1.5,1,19-50,66603,21.35,684,811,575,1348,794,591,747
Anoka County                    ,3,2,1,1,19-50,55026,26.45,0,811,575,1348,794,591,467
Anoka County                    ,3,2,2,1,19-50,77552,18.64,1369,811,575,1348,794,591,975
Becker County                   ,3,1,1,2,19-50,56059,26.95,777,798,524,1016,773,497,287
Becker County                   ,3,2,1.5,1,19-50,47579,15.25,252,807,538,756,846,428,338
Becker County                   ,3,2,2,1,19-50,52027,12.51,503,807,538,756,846,428,458
Becker County                   ,3,2,1,1,19-50,43119,20.73,0,807,538,756,846,428,218
Beltrami County                 ,3,1,1,2,19-50,55230,26.55,716,799,524,1067,721,511,265
Beltrami County                 ,3,2,2,1,19-50,51725,12.43,464,808,538,820,787,446,447
Beltrami County                 ,3,2,1,1,19-50,43454,20.89,0,808,538,820,787,446,222
Beltrami County                 ,3,2,1.5,1,19-50,47687,15.28,232,808,538,820,787,446,343
Benton County                   ,3,2,1.5,1,19-50,49516,15.87,302,791,538,846,813,448,388
Benton County                   ,3,2,2,1,19-50,54711,13.15,605,791,538,846,813,448,518
Benton County                   ,3,1,1,2,19-50,62097,29.85,977,782,524,1195,744,541,412
Benton County                   ,3,2,1,1,19-50,44103,21.2,0,791,538,846,813,448,239
Big Stone County                ,3,2,1,1,19-50,41546,19.97,0,822,538,756,741,432,173
Big Stone County                ,3,2,1.5,1,19-50,45577,14.61,210,822,538,756,741,432,299
Big Stone County                ,3,1,1,2,19-50,54171,26.04,652,813,524,1082,681,519,243
Big Stone County                ,3,2,2,1,19-50,49075,11.8,420,822,538,756,741,432,381
Blue Earth County               ,3,2,1.5,1,19-50,49975,16.02,260,804,538,990,689,491,393
Blue Earth County               ,3,1,1,2,19-50,61638,29.63,812,795,524,1386,635,597,387
Blue Earth County               ,3,2,2,1,19-50,54454,13.09,519,804,538,990,689,491,507
Blue Earth County               ,3,2,1,1,19-50,45219,21.74,0,804,538,990,689,491,256
Brown County                    ,3,2,1,1,19-50,40174,19.31,0,814,538,756,676,430,134
Brown County                    ,3,2,1.5,1,19-50,44565,14.28,237,814,538,756,676,430,263
Brown County                    ,3,1,1,2,19-50,52002,25,737,805,524,954,623,481,209
Brown County                    ,3,2,2,1,19-50,48713,11.71,474,814,538,756,676,430,371
Carlton County                  ,3,2,1,1,19-50,45998,22.11,0,804,538,911,826,470,284
Carlton County                  ,3,2,1.5,1,19-50,51111,16.38,282,804,538,911,826,470,428
Carlton County                  ,3,2,2,1,19-50,55842,13.42,564,804,538,911,826,470,541
Carlton County                  ,3,1,1,2,19-50,60752,29.21,891,795,524,1176,756,539,382
Carver County                   ,3,2,1.5,1,19-50,65334,20.94,596,823,575,1348,787,594,722
Carver County                   ,3,2,2,1,19-50,74865,18,1192,823,575,1348,787,594,920
Carver County                   ,3,1,1,2,19-50,94882,45.62,1986,813,561,1894,721,741,1191
Carver County                   ,3,2,1,1,19-50,55147,26.51,0,823,575,1348,787,594,469
Cass County                     ,3,1,1,2,19-50,54814,26.35,750,798,524,949,802,478,267
Cass County                     ,3,2,1.5,1,19-50,48331,15.49,253,807,538,761,878,429,362
Cass County                     ,3,2,2,1,19-50,52713,12.67,505,807,538,761,878,429,475
Cass County                     ,3,2,1,1,19-50,43788,21.05,0,807,538,761,878,429,236
Central Minnesota               ,3,2,2,1,19-50,63912,15.36,834,801,555,1066,859,511,700
Central Minnesota               ,3,1,1,2,19-50,77460,37.24,1441,792,541,1494,784,626,777
Central Minnesota               ,3,2,1,1,19-50,49764,23.93,0,801,555,1066,859,511,355
Central Minnesota               ,3,2,1.5,1,19-50,57072,18.29,417,801,555,1066,859,511,547
Chippewa County                 ,3,2,1.5,1,19-50,46266,14.83,227,818,538,756,774,431,311
Chippewa County                 ,3,2,2,1,19-50,50144,12.05,454,818,538,756,774,431,408
Chippewa County                 ,3,2,1,1,19-50,42047,20.21,0,818,538,756,774,431,187
