Name,Population,B19001_001E,Median Household Income,Aggregate Income,Aggregate Household Income,Ratio of Income to Poverty Level,Median Value,Earnings,Wage or Salary Income,Self-Employed Income,"Interest, Dividend, or Net Rental Income",Social Security Income,Supplemental Income,Public Assistance Income,Public Assistance or Food Stamp/SNAP Income,Retirement Income,Other Types of Income,Aggregate Earnings for Households,Value,Selected Monthly Owner Costs,Monthly Housing Costs,State
North Dakota,774948.0,322511.0,66519.0,28283509600.0,27950590100.0,752033.0,224400.0,322511.0,322511.0,322511.0,322511.0,322511.0,322511.0,322511.0,322511.0,322511.0,322511.0,20141992200.0,203549.0,203549.0,322511.0,38
Ohio,11780017.0,4832922.0,62262.0,413699100900.0,408731227300.0,11470517.0,180200.0,4832922.0,4832922.0,4832922.0,4832922.0,4832922.0,4832922.0,4832922.0,4832922.0,4832922.0,4832922.0,298530978200.0,3246486.0,3246486.0,4832922.0,39
Oklahoma,3986639.0,1547967.0,55826.0,119474768400.0,116763604600.0,3877776.0,168500.0,1547967.0,1547967.0,1547967.0,1547967.0,1547967.0,1547967.0,1547967.0,1547967.0,1547967.0,1547967.0,83131913100.0,1013837.0,1013837.0,1547967.0,40
Oregon,4246155.0,1702599.0,71562.0,165494296900.0,162874865800.0,4166362.0,422700.0,1702599.0,1702599.0,1702599.0,1702599.0,1702599.0,1702599.0,1702599.0,1702599.0,1702599.0,1702599.0,114000756400.0,1086030.0,1086030.0,1702599.0,41
Pennsylvania,12964056.0,5228956.0,68957.0,496717009300.0,490660449000.0,12571365.0,222300.0,5228956.0,5228956.0,5228956.0,5228956.0,5228956.0,5228956.0,5228956.0,5228956.0,5228956.0,5228956.0,359493160600.0,3657478.0,3657478.0,5228956.0,42
Rhode Island,1095610.0,440170.0,74008.0,44242731500.0,43640025800.0,1052091.0,348100.0,440170.0,440170.0,440170.0,440170.0,440170.0,440170.0,440170.0,440170.0,440170.0,440170.0,32412596400.0,278449.0,278449.0,440170.0,44
South Carolina,5190705.0,2049972.0,59318.0,173055334900.0,167237015400.0,5063148.0,213500.0,2049972.0,2049972.0,2049972.0,2049972.0,2049972.0,2049972.0,2049972.0,2049972.0,2049972.0,2049972.0,114570279300.0,1471296.0,1471296.0,2049972.0,45
South Dakota,895376.0,356887.0,66143.0,31459453800.0,30761537100.0,867039.0,219900.0,356887.0,356887.0,356887.0,356887.0,356887.0,356887.0,356887.0,356887.0,356887.0,356887.0,21922089100.0,247630.0,247630.0,356887.0,46
Tennessee,6975218.0,2770395.0,59695.0,236491171700.0,232095948500.0,6811613.0,235200.0,2770395.0,2770395.0,2770395.0,2770395.0,2770395.0,2770395.0,2770395.0,2770395.0,2770395.0,2770395.0,165527813800.0,1869046.0,1869046.0,2770395.0,47
Texas,29527941.0,10796247.0,66963.0,1025128251600.0,1011257817000.0,28933638.0,237400.0,10796247.0,10796247.0,10796247.0,10796247.0,10796247.0,10796247.0,10796247.0,10796247.0,10796247.0,10796247.0,775061332700.0,6761002.0,6761002.0,10796247.0,48
Utah,3337975.0,1101499.0,79449.0,117564068200.0,115740612800.0,3290444.0,421700.0,1101499.0,1101499.0,1101499.0,1101499.0,1101499.0,1101499.0,1101499.0,1101499.0,1101499.0,1101499.0,89482061600.0,768062.0,768062.0,1101499.0,49
Vermont,645570.0,270163.0,72431.0,25832867500.0,25529339000.0,621338.0,271500.0,270163.0,270163.0,270163.0,270163.0,270163.0,270163.0,270163.0,270163.0,270163.0,270163.0,17407954800.0,196291.0,196291.0,270163.0,50
Virginia,8642274.0,3331461.0,80963.0,378155003800.0,370749330100.0,8401227.0,330600.0,3331461.0,3331461.0,3331461.0,3331461.0,3331461.0,3331461.0,3331461.0,3331461.0,3331461.0,3331461.0,279614584900.0,2252170.0,2252170.0,3331461.0,51
Washington,7738692.0,3022255.0,84247.0,357351533700.0,351637054900.0,7599960.0,485700.0,3022255.0,3022255.0,3022255.0,3022255.0,3022255.0,3022255.0,3022255.0,3022255.0,3022255.0,3022255.0,266209733900.0,1933901.0,1933901.0,3022255.0,53
West Virginia,1782959.0,722201.0,51248.0,53835937300.0,52210729500.0,1734876.0,143200.0,722201.0,722201.0,722201.0,722201.0,722201.0,722201.0,722201.0,722201.0,722201.0,722201.0,34755667800.0,542805.0,542805.0,722201.0,54
Wisconsin,5895908.0,2449970.0,67125.0,219454468600.0,216342513800.0,5754788.0,230700.0,2449970.0,2449970.0,2449970.0,2449970.0,2449970.0,2449970.0,2449970.0,2449970.0,2449970.0,2449970.0,158729306900.0,1668575.0,1668575.0,2449970.0,55
Wyoming,578803.0,242763.0,65204.0,21506071800.0,21098836700.0,565760.0,266400.0,242763.0,242763.0,242763.0,242763.0,242763.0,242763.0,242763.0,242763.0,242763.0,242763.0,14183695700.0,173247.0,173247.0,242763.0,56
Alaska,732673.0,271311.0,77845.0,28947051300.0,27271790700.0,716769.0,304900.0,271311.0,271311.0,271311.0,271311.0,271311.0,271311.0,271311.0,271311.0,271311.0,271311.0,19949209800.0,181145.0,181145.0,271311.0,02
