region,geo_type,geo_id,sex,race,year,999
4,1,all_region,0,0,2029,242954
4,1,all_region,0,0,2030,243830
4,1,all_region,0,0,2031,244660
4,1,all_region,0,0,2032,245443
4,1,all_region,0,0,2033,246180
4,1,all_region,0,0,2034,246871
4,1,all_region,0,0,2035,247516
4,1,all_region,0,0,2036,248117
4,1,all_region,0,0,2037,248675
4,1,all_region,0,0,2038,249191
4,1,all_region,0,0,2039,249668
4,1,all_region,0,0,2040,250107
4,1,all_region,0,0,2041,250511
4,1,all_region,0,0,2042,250880
4,1,all_region,0,0,2043,251219
4,1,all_region,0,0,2044,251529
4,1,all_region,0,0,2045,251814
4,1,all_region,0,0,2046,252077
4,1,all_region,0,0,2047,252320
4,1,all_region,0,0,2048,252546
4,1,all_region,0,0,2049,252757
4,1,all_region,0,0,2050,252955
4,1,all_region,0,0,2051,253142
4,1,all_region,0,0,2052,253320
4,1,all_region,0,0,2053,253490
4,1,all_region,0,0,2054,253652
4,1,all_region,0,0,2055,253807
4,1,all_region,0,0,2056,253954
4,1,all_region,0,0,2057,254095
4,1,all_region,0,0,2058,254229
4,1,all_region,0,0,2059,254356
4,1,all_region,0,0,2060,254473
5,1,all_region,0,0,2010,163218
5,1,all_region,0,0,2011,162837
5,1,all_region,0,0,2012,162563
5,1,all_region,0,0,2013,162465
5,1,all_region,0,0,2014,162405
5,1,all_region,0,0,2015,162689
5,1,all_region,0,0,2016,163601
5,1,all_region,0,0,2017,164929
5,1,all_region,0,0,2018,165932
5,1,all_region,0,0,2019,165182
5,1,all_region,0,0,2020,165469
5,1,all_region,0,0,2021,165733
5,1,all_region,0,0,2022,165973
5,1,all_region,0,0,2023,166185
5,1,all_region,0,0,2024,166367
5,1,all_region,0,0,2025,166520
5,1,all_region,0,0,2026,166643
5,1,all_region,0,0,2027,166734
5,1,all_region,0,0,2028,166791
5,1,all_region,0,0,2029,166812
5,1,all_region,0,0,2030,166796
5,1,all_region,0,0,2031,166742
5,1,all_region,0,0,2032,166651
5,1,all_region,0,0,2033,166522
5,1,all_region,0,0,2034,166356
5,1,all_region,0,0,2035,166155
5,1,all_region,0,0,2036,165918
5,1,all_region,0,0,2037,165648
5,1,all_region,0,0,2038,165345
5,1,all_region,0,0,2039,165011
5,1,all_region,0,0,2040,164648
5,1,all_region,0,0,2041,164257
5,1,all_region,0,0,2042,163840
5,1,all_region,0,0,2043,163398
5,1,all_region,0,0,2044,162935
5,1,all_region,0,0,2045,162451
5,1,all_region,0,0,2046,161950
5,1,all_region,0,0,2047,161432
5,1,all_region,0,0,2048,160899
5,1,all_region,0,0,2049,160354
5,1,all_region,0,0,2050,159797
5,1,all_region,0,0,2051,159231
5,1,all_region,0,0,2052,158655
5,1,all_region,0,0,2053,158071
5,1,all_region,0,0,2054,157479
5,1,all_region,0,0,2055,156879
5,1,all_region,0,0,2056,156272
5,1,all_region,0,0,2057,155658
5,1,all_region,0,0,2058,155036
5,1,all_region,0,0,2059,154407
5,1,all_region,0,0,2060,153769
6,1,all_region,0,0,2010,162980
6,1,all_region,0,0,2011,161852
6,1,all_region,0,0,2012,160780
6,1,all_region,0,0,2013,160289
6,1,all_region,0,0,2014,159834
6,1,all_region,0,0,2015,159398
6,1,all_region,0,0,2016,159169
6,1,all_region,0,0,2017,159211
6,1,all_region,0,0,2018,159192
6,1,all_region,0,0,2019,158098
6,1,all_region,0,0,2020,157552
6,1,all_region,0,0,2021,156972
6,1,all_region,0,0,2022,156358
6,1,all_region,0,0,2023,155707
6,1,all_region,0,0,2024,155018
6,1,all_region,0,0,2025,154291
6,1,all_region,0,0,2026,153526
6,1,all_region,0,0,2027,152721
6,1,all_region,0,0,2028,151874
6,1,all_region,0,0,2029,150985
6,1,all_region,0,0,2030,150053
6,1,all_region,0,0,2031,149078
6,1,all_region,0,0,2032,148060
6,1,all_region,0,0,2033,147000
6,1,all_region,0,0,2034,145899
6,1,all_region,0,0,2035,144758
6,1,all_region,0,0,2036,143579
6,1,all_region,0,0,2037,142363
6,1,all_region,0,0,2038,141111
6,1,all_region,0,0,2039,139826
6,1,all_region,0,0,2040,138510
6,1,all_region,0,0,2041,137163
6,1,all_region,0,0,2042,135788
6,1,all_region,0,0,2043,134386
6,1,all_region,0,0,2044,132961
6,1,all_region,0,0,2045,131513
6,1,all_region,0,0,2046,130045
6,1,all_region,0,0,2047,128558
6,1,all_region,0,0,2048,127055
6,1,all_region,0,0,2049,125536
6,1,all_region,0,0,2050,124002
6,1,all_region,0,0,2051,122456
6,1,all_region,0,0,2052,120897
6,1,all_region,0,0,2053,119327
6,1,all_region,0,0,2054,117746
6,1,all_region,0,0,2055,116154
6,1,all_region,0,0,2056,114551
6,1,all_region,0,0,2057,112938
6,1,all_region,0,0,2058,111314
6,1,all_region,0,0,2059,109680
6,1,all_region,0,0,2060,108035
7,1,all_region,0,0,2010,566880
7,1,all_region,0,0,2011,569175
7,1,all_region,0,0,2012,569660
7,1,all_region,0,0,2013,572273
7,1,all_region,0,0,2014,576477
7,1,all_region,0,0,2015,580496
7,1,all_region,0,0,2016,585983
7,1,all_region,0,0,2017,592820
7,1,all_region,0,0,2018,599903
7,1,all_region,0,0,2019,600566
7,1,all_region,0,0,2020,604727
7,1,all_region,0,0,2021,608847
7,1,all_region,0,0,2022,612915
7,1,all_region,0,0,2023,616924
7,1,all_region,0,0,2024,620865
7,1,all_region,0,0,2025,624732
7,1,all_region,0,0,2026,628532
7,1,all_region,0,0,2027,632247
7,1,all_region,0,0,2028,635870
7,1,all_region,0,0,2029,639394
7,1,all_region,0,0,2030,642813
7,1,all_region,0,0,2031,646123
7,1,all_region,0,0,2032,649321
7,1,all_region,0,0,2033,652406
7,1,all_region,0,0,2034,655379
7,1,all_region,0,0,2035,658241
7,1,all_region,0,0,2036,660995
7,1,all_region,0,0,2037,663644
7,1,all_region,0,0,2038,666191
7,1,all_region,0,0,2039,668640
7,1,all_region,0,0,2040,670996
7,1,all_region,0,0,2041,673263
7,1,all_region,0,0,2042,675448
7,1,all_region,0,0,2043,677556
7,1,all_region,0,0,2044,679594
7,1,all_region,0,0,2045,681571
7,1,all_region,0,0,2046,683496
7,1,all_region,0,0,2047,685372
7,1,all_region,0,0,2048,687207
7,1,all_region,0,0,2049,689008
7,1,all_region,0,0,2050,690780
7,1,all_region,0,0,2051,692529
7,1,all_region,0,0,2052,694258
7,1,all_region,0,0,2053,695969
7,1,all_region,0,0,2054,697666
7,1,all_region,0,0,2055,699348
7,1,all_region,0,0,2056,701017
7,1,all_region,0,0,2057,702672
7,1,all_region,0,0,2058,704313
7,1,all_region,0,0,2059,705939
7,1,all_region,0,0,2060,707546
8,1,all_region,0,0,2010,119185
8,1,all_region,0,0,2011,118939
8,1,all_region,0,0,2012,118268
8,1,all_region,0,0,2013,118028
8,1,all_region,0,0,2014,117686
8,1,all_region,0,0,2015,117384
8,1,all_region,0,0,2016,117104
8,1,all_region,0,0,2017,116855
8,1,all_region,0,0,2018,116400
8,1,all_region,0,0,2019,116120
8,1,all_region,0,0,2020,115713
8,1,all_region,0,0,2021,115282
8,1,all_region,0,0,2022,114826
8,1,all_region,0,0,2023,114343
8,1,all_region,0,0,2024,113831
8,1,all_region,0,0,2025,113291
8,1,all_region,0,0,2026,112724
8,1,all_region,0,0,2027,112127
8,1,all_region,0,0,2028,111500
8,1,all_region,0,0,2029,110841
8,1,all_region,0,0,2030,110151
8,1,all_region,0,0,2031,109429
8,1,all_region,0,0,2032,108676
8,1,all_region,0,0,2033,107891
8,1,all_region,0,0,2034,107077
8,1,all_region,0,0,2035,106233
8,1,all_region,0,0,2036,105361
8,1,all_region,0,0,2037,104462
8,1,all_region,0,0,2038,103537
8,1,all_region,0,0,2039,102587
8,1,all_region,0,0,2040,101614
8,1,all_region,0,0,2041,100619
8,1,all_region,0,0,2042,99603
8,1,all_region,0,0,2043,98567
8,1,all_region,0,0,2044,97514
8,1,all_region,0,0,2045,96445
8,1,all_region,0,0,2046,95360
8,1,all_region,0,0,2047,94262
8,1,all_region,0,0,2048,93152
8,1,all_region,0,0,2049,92030
8,1,all_region,0,0,2050,90897
8,1,all_region,0,0,2051,89755
8,1,all_region,0,0,2052,88604
8,1,all_region,0,0,2053,87445
8,1,all_region,0,0,2054,86277
8,1,all_region,0,0,2055,85101
8,1,all_region,0,0,2056,83918
8,1,all_region,0,0,2057,82727
8,1,all_region,0,0,2058,81528
8,1,all_region,0,0,2059,80321
8,1,all_region,0,0,2060,79107
9,1,all_region,0,0,2010,231296
9,1,all_region,0,0,2011,231336
9,1,all_region,0,0,2012,231057
9,1,all_region,0,0,2013,230342
9,1,all_region,0,0,2014,230934
9,1,all_region,0,0,2015,230990
9,1,all_region,0,0,2016,231404
9,1,all_region,0,0,2017,232436
9,1,all_region,0,0,2018,233494
9,1,all_region,0,0,2019,232805
9,1,all_region,0,0,2020,232962
9,1,all_region,0,0,2021,233084
9,1,all_region,0,0,2022,233167
9,1,all_region,0,0,2023,233208
9,1,all_region,0,0,2024,233205
9,1,all_region,0,0,2025,233156
9,1,all_region,0,0,2026,233064
9,1,all_region,0,0,2027,232923
9,1,all_region,0,0,2028,232732
9,1,all_region,0,0,2029,232487
9,1,all_region,0,0,2030,232188
9,1,all_region,0,0,2031,231834
9,1,all_region,0,0,2032,231425
9,1,all_region,0,0,2033,230961
9,1,all_region,0,0,2034,230443
9,1,all_region,0,0,2035,229873
9,1,all_region,0,0,2036,229252
9,1,all_region,0,0,2037,228583
9,1,all_region,0,0,2038,227866
9,1,all_region,0,0,2039,227105
9,1,all_region,0,0,2040,226301
9,1,all_region,0,0,2041,225456
9,1,all_region,0,0,2042,224574
9,1,all_region,0,0,2043,223657
9,1,all_region,0,0,2044,222707
9,1,all_region,0,0,2045,221728
9,1,all_region,0,0,2046,220724
9,1,all_region,0,0,2047,219695
9,1,all_region,0,0,2048,218645
9,1,all_region,0,0,2049,217576
9,1,all_region,0,0,2050,216490
9,1,all_region,0,0,2051,215388
9,1,all_region,0,0,2052,214273
9,1,all_region,0,0,2053,213145
9,1,all_region,0,0,2054,212005
9,1,all_region,0,0,2055,210853
9,1,all_region,0,0,2056,209689
9,1,all_region,0,0,2057,208514
9,1,all_region,0,0,2058,207328
9,1,all_region,0,0,2059,206130
9,1,all_region,0,0,2060,204919
10,1,all_region,0,0,2010,495040
10,1,all_region,0,0,2011,496198
10,1,all_region,0,0,2012,496947
10,1,all_region,0,0,2013,498972
10,1,all_region,0,0,2014,500074
10,1,all_region,0,0,2015,501254
10,1,all_region,0,0,2016,504170
10,1,all_region,0,0,2017,506761
10,1,all_region,0,0,2018,509389
10,1,all_region,0,0,2019,510433
10,1,all_region,0,0,2020,512154
10,1,all_region,0,0,2021,513816
10,1,all_region,0,0,2022,515411
10,1,all_region,0,0,2023,516932
10,1,all_region,0,0,2024,518373
10,1,all_region,0,0,2025,519730
10,1,all_region,0,0,2026,521009
10,1,all_region,0,0,2027,522195
10,1,all_region,0,0,2028,523284
10,1,all_region,0,0,2029,524271
10,1,all_region,0,0,2030,525152
10,1,all_region,0,0,2031,525924
10,1,all_region,0,0,2032,526586
10,1,all_region,0,0,2033,527138
10,1,all_region,0,0,2034,527583
10,1,all_region,0,0,2035,527921
10,1,all_region,0,0,2036,528157
10,1,all_region,0,0,2037,528293
10,1,all_region,0,0,2038,528333
10,1,all_region,0,0,2039,528282
10,1,all_region,0,0,2040,528143
10,1,all_region,0,0,2041,527922
10,1,all_region,0,0,2042,527623
10,1,all_region,0,0,2043,527252
10,1,all_region,0,0,2044,526815
10,1,all_region,0,0,2045,526320
10,1,all_region,0,0,2046,525773
10,1,all_region,0,0,2047,525178
10,1,all_region,0,0,2048,524542
10,1,all_region,0,0,2049,523869
10,1,all_region,0,0,2050,523164
10,1,all_region,0,0,2051,522432
10,1,all_region,0,0,2052,521675
10,1,all_region,0,0,2053,520896
10,1,all_region,0,0,2054,520096
10,1,all_region,0,0,2055,519277
10,1,all_region,0,0,2056,518438
10,1,all_region,0,0,2057,517580
10,1,all_region,0,0,2058,516702
10,1,all_region,0,0,2059,515804
10,1,all_region,0,0,2060,514884
11,1,all_region,0,0,2010,2855073
